Controller,ClosedLoop,ClosedLoop,NoController,OpenLoop,OpenLoop
reactionProbability,0.5,1.0,1.0,0.5,1.0
gamma,,,,,
0,Corridor1,Corridor1,Corridor1,Corridor1,Corridor2
1,Corridor1,Corridor1,Corridor1,Corridor1,Corridor3
2,Corridor1,Corridor1,Corridor1,Corridor1,Corridor1
3,Corridor1,Corridor1,Corridor1,Corridor1,Corridor1
4,Corridor1,Corridor1,Corridor1,Corridor1,Corridor1
5,Corridor1,Corridor1,Corridor1,Corridor1,Corridor1
6,Corridor1,Corridor1,Corridor1,Corridor1,Corridor1
7,Corridor1,Corridor1,Corridor1,Corridor1,Corridor1
8,Corridor1,Corridor1,Corridor1,Corridor1,Corridor1
9,Corridor1,Corridor1,Corridor1,Corridor1,Corridor1
